Date,PWSA,ABC,GTI,PAS,PEPC,PPAP,PPSP,CGSM,MJQE
12/17/2025,-0.006269613,0.011049836,0.002836881,0.001561281,0,-0.005665738,0,0.008000043,0
12/16/2025,0.006269613,0.011173301,-0.002836881,0.001563722,-0.010582109,0.001413428,0.028437935,-0.008000043,0
12/15/2025,-0.006269613,-0.024966623,-0.002828856,-0.015528262,0,-0.002824861,-0.004796172,-0.003976148,0
12/12/2025,-0.003120127,0.002743486,0.00851069,-0.006144413,-0.003502631,-0.004222385,0,0,0.005012542
12/11/2025,0,-0.002743486,-0.005681833,0.006144413,0.028370697,0,0,0.011976191,0
12/10/2025,0,0.005494519,0.002836881,0,-0.003590668,-0.001403509,0,0.00402415,-0.005012542
12/9/2025,-0.003110422,-0.002751033,-0.002836881,-0.001539646,0.036500402,0.011283618,0,0,0.005012542
12/8/2025,0.012500163,-0.024424552,0.005681833,0.006172859,-0.011090687,0,0,0,-0.005012542
12/5/2025,0.006309169,0.024424552,0.002853069,0.02191011,-0.00732604,0,0,-0.008032172,0
12/4/2025,0.006349228,0.008275909,-0.005698021,0,-0.014493007,-0.001417435,0,0,0
12/3/2025,-0.003179653,0.002773927,0.002844952,0.009539023,-0.010733556,0.001417435,0.004796172,-0.00796817,0
12/2/2025,0,0.013986242,-0.002844952,0.003200003,0.025226563,0.007117468,0,0,0
12/1/2025,0,0.008486614,0,0.009661911,0.003656311,0,0,0.00796817,0.005012542
11/28/2025,0.006369448,0.002844952,0,0.001619434,-0.007299302,0.018746043,0,0,0
11/27/2025,0.003200003,0,0,0.00162206,-0.003629768,0.002915454,0,0,0
11/26/2025,0.003210276,0.002853069,0,-0.00162206,0.033152207,-0.00437,0,0.004008021,0.005037794
11/25/2025,0,0,0.002844952,0,-0.003738322,0.001454546,-0.004796172,-0.004008021,0
11/24/2025,0,-0.005698021,0.014347448,0.00162206,0.003738322,-0.001454546,-0.004773279,-0.003992021,0
11/21/2025,0,0.002844952,-0.017192401,-0.003241494,0,0,0.004773279,0.003992021,0
11/20/2025,0,0.002853069,0,0,0.026567027,0,0.014458083,0,0
11/19/2025,0.003220615,0,0,0.008123522,0,-0.00290276,0,0.004008021,0
11/18/2025,0,0,0,-0.001629992,0.003853569,0.00873368,0,0.00402415,0.005063302
11/17/2025,-0.003220615,0,0.008559253,0,0.015564517,0.005865119,0,0.00809721,-0.005063302
11/14/2025,0,0,0,0,-0.038466281,0,0,-0.004056801,0
11/13/2025,0,-0.014184635,-0.005714301,0.003262646,0,-0.00732604,0,0,0
11/12/2025,0,-0.011204599,0.005714301,0.003273325,0,0.00732604,0,0.004056801,0
11/11/2025,0.003220615,0.039777971,-0.014224991,0,0.050300738,0,-0.004842624,0,0
11/10/2025,0.006472515,0.014598799,-0.002820876,0.006578971,0,0,0.009708814,0.004073325,0.005063302
11/7/2025,0,0,0.014184635,-0.004938282,0.003976148,0.005899722,0,0,-0.005063302
11/3/2025,0,0.005899722,-0.008534902,0.003289477,0,0,0,-0.004073325,0
10/31/2025,0.003252035,-0.002954212,-0.002828856,0.001648805,0,0.001480385,0,0.008163311,0.005063302
10/30/2025,0,0.002954212,0,0.001651528,0.003992021,0,0.009804,-0.004089985,0
10/28/2025,-0.003252035,0,0.002828856,0,0,0,0,0.004089985,-0.005063302
10/27/2025,0.003252035,0,0.002836881,-0.00658981,0,0,-0.004914015,0,0
10/24/2025,-0.006493529,0,-0.008486614,0.001643386,0,0.00148258,0,0,0.005063302
10/23/2025,0.003241494,0.002962965,0,0.004946424,-0.019802627,-0.002962965,0.004914015,0.004106782,0.00508907
10/22/2025,0.003252035,-0.002962965,0,-0.001651528,-0.01169604,0.001480385,-0.004914015,-0.008196767,-0.00508907
10/21/2025,0,0,0.002820876,-0.001648805,0.015625318,-0.001480385,0.004914015,0,0
10/20/2025,-0.003252035,-0.002954212,-0.002820876,0,0,0.001480385,-0.009804,0.004089985,-0.005063302
10/17/2025,0,0,-0.002812941,0.004954593,-0.042395559,0,0,0.004106782,0
10/16/2025,0.003252035,0,0,-0.004954593,0.038466281,-0.001480385,0,-0.004106782,0
10/14/2025,-0.003252035,0.002954212,-0.002805051,0,0,0.001480385,0,0,0
10/13/2025,-0.003241494,-0.017595762,0.008438869,0.004954593,0,-0.001480385,0,0,0
10/10/2025,0.006493529,0.00583092,0,-0.00165426,0,-0.002954212,-0.00486619,0,0
10/9/2025,-0.003252035,0.00881063,-0.002820876,0,0,-0.00294551,0.00486619,0.004106782,0
10/8/2025,0.003252035,0.002954212,0,0,0,0,0,0,0
10/7/2025,-0.003252035,-0.002954212,0.008486614,-0.001651528,-0.003913899,0,-0.00486619,0.004123717,0
